Car_Name,manufacture_year,Selling_Price,price,mileage,vehicle_type,Seller_Type,Transmission,Owner,car name,Predicted Valuation
ritz,2014,3.35,5.59,27000,2,Dealer,Manual,0,ritz,5.482819999999996
sx4,2013,4.75,9.54,43000,1,Dealer,Manual,0,sx4,9.475624999999992
ciaz,2017,7.25,9.85,6900,2,Dealer,Manual,0,ciaz,6.650706666666673
wagon r,2011,2.85,4.15,5200,2,Dealer,Manual,0,wagon r,3.311839999999998
swift,2014,4.6,6.87,42450,1,Dealer,Manual,0,swift,8.013849999999998
vitara brezza,2018,9.25,9.83,2071,1,Dealer,Manual,0,vitara  brez,29.1232
ciaz,2015,6.75,8.12,18796,2,Dealer,Manual,0,s cross,7.601100000000002
s cross,2015,6.5,8.61,33429,1,Dealer,Manual,0,alto 800,12.291260000000008
ciaz,2016,8.75,8.89,20273,1,Dealer,Manual,0,ertiga,11.216500000000003
ciaz,2015,7.45,8.92,42367,1,Dealer,Manual,0,dzire,11.366899999999987
alto 800,2017,2.85,3.6,2135,2,Dealer,Manual,0,alto k10,3.255899999999999
ciaz,2015,6.85,10.38,51000,1,Dealer,Manual,0,ignis,10.189249999999996
ciaz,2015,7.5,9.94,15000,2,Dealer,Automatic,0,baleno ,8.038053333333348
ertiga,2015,6.1,7.71,26000,2,Dealer,Manual,0,omni,8.083950000000009
dzire,2009,2.25,7.21,77427,2,Dealer,Manual,0,,9.462380000000007
ertiga,2016,7.75,10.79,43000,1,Dealer,Manual,0,,11.414699999999987
ertiga,2015,7.25,10.79,41678,1,Dealer,Manual,0,,15.853893333333321
ertiga,2016,7.75,10.79,43000,1,Dealer,Manual,0,,11.414699999999987
wagon r,2015,3.25,5.09,35500,0,Dealer,Manual,0,,8.262066666666673
sx4,2010,2.65,7.98,41442,2,Dealer,Manual,0,,6.520400000000006
alto k10,2016,2.85,3.95,25000,2,Dealer,Manual,0,,3.7156152380952365
ignis,2017,4.9,5.71,2400,2,Dealer,Manual,0,,4.415999999999997
sx4,2011,4.4,8.01,50000,2,Dealer,Automatic,0,,6.33307
alto k10,2014,2.5,3.46,45280,2,Dealer,Manual,0,,5.12301166666666
wagon r,2013,2.9,4.41,56879,2,Dealer,Manual,0,,11.161299999999999
swift,2011,3.0,4.99,20000,2,Dealer,Manual,0,,1.8163000000000002
swift,2013,4.15,5.87,55138,2,Dealer,Manual,0,,8.158800000000003
swift,2017,6.0,6.49,16200,2,Individual,Manual,0,,6.9771
alto k10,2010,1.95,3.95,44542,2,Dealer,Manual,0,,3.861966666666662
ciaz,2015,7.45,10.38,45000,1,Dealer,Manual,0,,11.054589999999997
ritz,2012,3.1,5.98,51439,1,Dealer,Manual,0,,7.811400000000008
ritz,2011,2.35,4.89,54200,2,Dealer,Manual,0,,5.607899999999995
swift,2014,4.95,7.49,39000,1,Dealer,Manual,0,,11.933693333333338
ertiga,2014,6.0,9.95,45000,1,Dealer,Manual,0,,7.761717857142855
dzire,2014,5.5,8.06,45000,1,Dealer,Manual,0,,7.761717857142855
sx4,2011,2.95,7.74,49998,0,Dealer,Manual,0,,10.45030000000001
dzire,2015,4.65,7.2,48767,2,Dealer,Manual,0,,7.60550000000001
alto 800,2003,0.35,2.28,127000,2,Individual,Manual,0,,7.582999999999991
alto k10,2016,3.0,3.76,10079,2,Dealer,Manual,0,,5.4519199999999985
sx4,2003,2.25,7.98,62000,2,Dealer,Manual,0,,7.155900000000006
baleno,2016,5.85,7.87,24524,2,Dealer,Automatic,0,,6.64678023809524
alto k10,2014,2.55,3.98,46706,2,Dealer,Manual,0,,4.1461000000000015
sx4,2008,1.95,7.15,58000,2,Dealer,Manual,0,,1.9292400000000003
dzire,2014,5.5,8.06,45780,1,Dealer,Manual,0,,7.9170999999999925
omni,2012,1.25,2.69,50000,2,Dealer,Manual,0,,4.154069999999999
ciaz,2014,7.5,12.04,15000,2,Dealer,Automatic,0,,1.8372500000000023
ritz,2013,2.65,4.89,64532,2,Dealer,Manual,0,,8.304669999999993
wagon r,2006,1.05,4.15,65000,2,Dealer,Manual,0,,5.647299999999996
ertiga,2015,5.8,7.71,25870,2,Dealer,Manual,0,,8.164050000000008
ciaz,2017,7.75,9.29,37000,2,Dealer,Automatic,0,,8.095933333333326
fortuner,2012,14.9,30.61,104707,1,Dealer,Automatic,0,,30.770500000000006
fortuner,2015,23.0,30.61,40000,1,Dealer,Automatic,0,,21.776486883116874
innova,2017,18.0,19.77,15000,1,Dealer,Automatic,0,,17.879399999999997
fortuner,2013,16.0,30.61,135000,1,Individual,Automatic,0,,30.06660000000001
innova,2005,2.75,10.21,90000,2,Individual,Manual,0,,10.496900000000007
corolla altis,2009,3.6,15.04,70000,2,Dealer,Automatic,0,,12.460939999999988
etios cross,2015,4.5,7.27,40534,2,Dealer,Manual,0,,7.781299999999995
corolla altis,2010,4.75,18.54,50000,2,Dealer,Manual,0,,4.0038899999999975
etios g,2014,4.1,6.8,39485,2,Dealer,Manual,1,,6.754699999999996
fortuner,2014,19.99,35.96,41000,1,Dealer,Automatic,0,,26.302464761904766
corolla altis,2013,6.95,18.61,40001,2,Dealer,Manual,0,,7.543929999999997
etios cross,2015,4.5,7.7,40588,2,Dealer,Manual,0,,7.961900000000003
fortuner,2014,18.75,35.96,78000,1,Dealer,Automatic,0,,41.6994
fortuner,2015,23.5,35.96,47000,1,Dealer,Automatic,0,,11.048249999999998
fortuner,2017,33.0,36.23,6000,1,Dealer,Automatic,0,,29.212200000000003
etios liva,2014,4.75,6.95,45000,1,Dealer,Manual,0,,7.761717857142855
innova,2017,19.75,23.15,11000,2,Dealer,Automatic,0,,11.095866666666659
fortuner,2010,9.25,20.45,59000,1,Dealer,Manual,0,,17.18610000000001
corolla altis,2011,4.35,13.74,88000,2,Dealer,Manual,0,,11.694710000000004
corolla altis,2016,14.25,20.91,12000,2,Dealer,Manual,0,,13.015828571428568
etios liva,2014,3.95,6.76,71000,1,Dealer,Manual,0,,8.754299999999995
corolla altis,2011,4.5,12.48,45000,1,Dealer,Manual,0,,12.232340000000006
corolla altis,2013,7.45,18.61,56001,2,Dealer,Manual,0,,14.882899999999983
etios liva,2011,2.65,5.71,43000,2,Dealer,Manual,0,,6.041383333333334
etios cross,2014,4.9,8.93,83000,1,Dealer,Manual,0,,22.684800000000013
etios g,2015,3.95,6.8,36000,2,Dealer,Manual,0,,8.073099999999991
corolla altis,2013,5.5,14.68,72000,2,Dealer,Manual,0,,14.93613999999999
corolla,2004,1.5,12.35,135154,2,Dealer,Automatic,0,,14.876000000000001
corolla altis,2010,5.25,22.83,80000,2,Dealer,Automatic,0,,17.45526000000001
fortuner,2012,14.5,30.61,89000,1,Dealer,Automatic,0,,30.2447
corolla altis,2016,14.73,14.89,23000,1,Dealer,Manual,0,,13.833700000000016
etios gd,2015,4.75,7.85,40000,1,Dealer,Manual,0,,21.776486883116874
innova,2017,23.0,25.39,15000,1,Dealer,Automatic,0,,17.879399999999997
innova,2015,12.5,13.46,38000,1,Dealer,Manual,0,,13.555460000000014
innova,2005,3.49,13.46,197176,1,Dealer,Manual,0,,28.21290000000001
camry,2006,2.5,23.73,142000,2,Individual,Automatic,3,,16.219000000000005
land cruiser,2010,35.0,92.6,78000,1,Dealer,Manual,0,,67.41370000000006
corolla altis,2012,5.9,13.74,56000,2,Dealer,Manual,0,,13.490900000000002
etios liva,2013,3.45,6.05,47000,2,Dealer,Manual,0,,5.375950000000005
etios g,2014,4.75,6.76,40000,2,Dealer,Manual,0,,6.828999999999993
corolla altis,2009,3.8,18.61,62000,2,Dealer,Manual,0,,6.881199999999998
innova,2014,11.25,16.09,58242,1,Dealer,Manual,0,,12.695799999999997
innova,2005,3.51,13.7,75000,2,Dealer,Manual,0,,7.7070300000000005
fortuner,2015,23.0,30.61,40000,1,Dealer,Automatic,0,,21.776486883116874
corolla altis,2008,4.0,22.78,89000,2,Dealer,Automatic,0,,17.329999999999988
corolla altis,2012,5.85,18.61,72000,2,Dealer,Manual,0,,15.094449999999986
innova,2016,20.75,25.39,29000,1,Dealer,Automatic,0,,20.930200000000035
corolla altis,2017,17.0,18.64,8700,2,Dealer,Manual,0,,6.714133333333333
corolla altis,2013,7.05,18.61,45000,2,Dealer,Manual,0,,8.679285
fortuner,2010,9.65,20.45,50024,1,Dealer,Manual,0,,16.855800000000023
Royal Enfield Thunder 500,2016,1.75,1.9,3000,2,Individual,Manual,0,,2.70095
UM Renegade Mojave,2017,1.7,1.82,1400,2,Individual,Manual,0,,1.139233333333334
KTM RC200,2017,1.65,1.78,4000,2,Individual,Manual,0,,1.476893095238096
Bajaj Dominar 400,2017,1.45,1.6,1200,2,Individual,Manual,0,,1.3532333333333317
Royal Enfield Classic 350,2017,1.35,1.47,4100,2,Individual,Manual,0,,1.476893095238096
KTM RC390,2015,1.35,2.37,21700,2,Individual,Manual,0,,5.085200000000003
Hyosung GT250R,2014,1.35,3.45,16500,2,Individual,Manual,1,,4.67193
Royal Enfield Thunder 350,2013,1.25,1.5,15000,2,Individual,Manual,0,,1.4798866666666664
Royal Enfield Thunder 350,2016,1.2,1.5,18000,2,Individual,Manual,0,,4.526650000000001
Royal Enfield Classic 350,2017,1.2,1.47,11000,2,Individual,Manual,0,,11.095866666666659
KTM RC200,2016,1.2,1.78,6000,2,Individual,Manual,0,,1.5688866666666663
Royal Enfield Thunder 350,2016,1.15,1.5,8700,2,Individual,Manual,0,,4.589733333333335
KTM 390 Duke ,2014,1.15,2.4,7000,2,Individual,Manual,0,,2.7451366666666677
Mahindra Mojo XT300,2016,1.15,1.4,35000,2,Individual,Manual,0,,2.192400000000001
Royal Enfield Classic 350,2015,1.15,1.47,17000,2,Individual,Manual,0,,2.078799999999999
Royal Enfield Classic 350,2015,1.11,1.47,17500,2,Individual,Manual,0,,1.5966999999999991
Royal Enfield Classic 350,2013,1.1,1.47,33000,2,Individual,Manual,0,,4.217780000000002
Royal Enfield Thunder 500,2015,1.1,1.9,14000,2,Individual,Manual,0,,1.6904266666666683
Royal Enfield Classic 350,2015,1.1,1.47,26000,2,Individual,Manual,0,,8.083950000000009
Royal Enfield Thunder 500,2013,1.05,1.9,5400,2,Individual,Manual,0,,2.1837600000000035
Bajaj Pulsar RS200,2016,1.05,1.26,5700,2,Individual,Manual,0,,2.529499999999999
Royal Enfield Thunder 350,2011,1.05,1.5,6900,2,Individual,Manual,0,,1.8464800000000003
Royal Enfield Bullet 350,2016,1.05,1.17,6000,2,Individual,Manual,0,,1.5688866666666663
Royal Enfield Classic 350,2013,1.0,1.47,46500,2,Individual,Manual,0,,3.3030500000000047
Royal Enfield Classic 500,2012,0.95,1.75,11500,2,Individual,Manual,0,,3.614233333333337
Royal Enfield Classic 500,2009,0.9,1.75,40000,2,Individual,Manual,0,,3.2508899999999987
Bajaj Avenger 220,2017,0.9,0.95,1300,2,Individual,Manual,0,,1.112733333333334
Bajaj Avenger 150,2016,0.75,0.8,7000,2,Individual,Manual,0,,3.9522166666666685
Honda CB Hornet 160R,2017,0.8,0.87,3000,2,Individual,Manual,0,,2.3361500000000017
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,2,Individual,Manual,0,,1.0348916666666683
Honda CB Hornet 160R,2017,0.75,0.87,11000,2,Individual,Manual,0,,11.095866666666659
Yamaha FZ 16,2015,0.75,0.82,18000,2,Individual,Manual,0,,1.5397999999999974
Bajaj Avenger 220,2017,0.75,0.95,3500,2,Individual,Manual,0,,2.749249999999997
Bajaj Avenger 220,2016,0.72,0.95,500,2,Individual,Manual,0,,0.7650369047619051
TVS Apache RTR 160,2017,0.65,0.81,11800,2,Individual,Manual,0,,3.4342928571428577
Bajaj Pulsar 150,2015,0.65,0.74,5000,2,Individual,Manual,0,,1.650850000000001
Honda CBR 150,2014,0.65,1.2,23500,2,Individual,Manual,0,,1.4760700000000002
Hero Extreme,2013,0.65,0.787,16000,2,Individual,Manual,0,,3.4049416666666668
Honda CB Hornet 160R,2016,0.6,0.87,15000,2,Individual,Manual,0,,3.220223333333335
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,2,Individual,Manual,0,,2.125449999999998
Honda CBR 150,2013,0.6,1.2,32000,2,Individual,Manual,0,,4.197606666666668
Bajaj Avenger 150 street,2016,0.6,0.8,20000,2,Individual,Manual,0,,2.680050000000003
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,2,Individual,Manual,0,,3.5687999999999986
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,2,Individual,Manual,0,,3.7156152380952365
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,2,Individual,Manual,0,,6.207400000000003
TVS Apache RTR 160,2012,0.6,0.81,19000,2,Individual,Manual,0,,1.0943500000000004
Hero Extreme,2014,0.55,0.787,15000,2,Individual,Manual,0,,1.8372500000000023
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,2,Individual,Manual,0,,4.038699999999996
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,2,Individual,Manual,0,,3.149999999999999
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,2,Individual,Manual,0,,2.617966666666666
TVS Apache RTR 180,2011,0.5,0.826,6000,2,Individual,Manual,0,,1.2531833333333322
Hero Passion X pro,2016,0.5,0.55,31000,2,Individual,Manual,0,,3.7815000000000056
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,2,Individual,Manual,0,,2.268200000000002
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,2,Individual,Manual,0,,8.679285
Yamaha Fazer ,2014,0.5,0.88,8000,2,Individual,Manual,0,,2.768303333333334
Honda Activa 4G,2017,0.48,0.51,4300,2,Individual,Automatic,0,,0.9596750000000016
TVS Sport ,2017,0.48,0.52,15000,2,Individual,Manual,0,,2.4227666666666705
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,2,Individual,Manual,0,,2.7405400000000015
Honda Dream Yuga ,2017,0.48,0.54,8600,2,Individual,Manual,0,,6.714133333333333
Honda Activa 4G,2017,0.45,0.51,4000,2,Individual,Automatic,0,,1.476893095238096
Bajaj Avenger Street 220,2011,0.45,0.95,24000,2,Individual,Manual,0,,2.0384999999999978
TVS Apache RTR 180,2014,0.45,0.826,23000,2,Individual,Manual,0,,1.294609999999999
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,2,Individual,Manual,0,,1.1447099999999986
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,2,Individual,Manual,0,,1.7579333333333338
Hero Splender iSmart,2016,0.45,0.54,14000,2,Individual,Manual,0,,2.2195633333333347
Activa 3g,2016,0.45,0.54,500,2,Individual,Automatic,0,,0.7650369047619051
Hero Passion Pro,2016,0.45,0.55,1000,2,Individual,Manual,0,,0.6792452380952373
TVS Apache RTR 160,2014,0.42,0.81,42000,2,Individual,Manual,0,,7.645399999999998
Honda CB Trigger,2013,0.42,0.73,12000,2,Individual,Manual,0,,7.097625714285715
Hero Splender iSmart,2015,0.4,0.54,14000,2,Individual,Manual,0,,1.6904266666666683
Yamaha FZ S ,2012,0.4,0.83,5500,2,Individual,Manual,0,,1.6582600000000025
Hero Passion Pro,2015,0.4,0.55,6700,2,Individual,Manual,0,,2.198123333333335
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,2,Individual,Manual,0,,1.025000000000001
Activa 4g,2017,0.4,0.51,1300,2,Individual,Automatic,0,,1.112733333333334
Honda CB Unicorn,2015,0.38,0.72,38600,2,Individual,Manual,0,,3.0459000000000014
Hero Honda CBZ extreme,2011,0.38,0.787,75000,2,Individual,Manual,0,,5.279749999999996
Honda Karizma,2011,0.35,1.05,30000,2,Individual,Manual,0,,2.5176333333333356
Honda Activa 125,2016,0.35,0.57,24000,2,Individual,Automatic,0,,2.617966666666666
TVS Jupyter,2014,0.35,0.52,19000,2,Individual,Automatic,0,,1.4917400000000012
Honda Karizma,2010,0.31,1.05,213000,2,Individual,Manual,0,,7.047269999999994
Hero Honda Passion Pro,2012,0.3,0.51,60000,2,Individual,Manual,0,,4.252399999999995
Hero Splender Plus,2016,0.3,0.48,50000,2,Individual,Manual,0,,3.8152000000000026
Honda CB Shine,2013,0.3,0.58,30000,2,Individual,Manual,0,,4.031066666666668
Bajaj Discover 100,2013,0.27,0.47,21000,2,Individual,Manual,0,,0.8639599999999994
Bajaj Pulsar 150,2008,0.25,0.75,26000,2,Individual,Manual,1,,0.9016933333333336
Suzuki Access 125,2008,0.25,0.58,1900,2,Individual,Automatic,0,,1.5315800000000002
TVS Wego,2010,0.25,0.52,22000,2,Individual,Automatic,0,,1.7681000000000007
Honda CB twister,2013,0.25,0.51,32000,2,Individual,Manual,0,,4.197606666666668
Hero Glamour,2013,0.25,0.57,18000,2,Individual,Manual,0,,0.872233333333332
Hero Super Splendor,2005,0.2,0.57,55000,2,Individual,Manual,0,,1.6439199999999983
Bajaj Pulsar 150,2008,0.2,0.75,60000,2,Individual,Manual,0,,2.17647
Bajaj Discover 125,2012,0.2,0.57,25000,2,Individual,Manual,1,,2.9037333333333306
Hero Hunk,2007,0.2,0.75,49000,2,Individual,Manual,1,,0.8577999999999999
Hero  Ignitor Disc,2013,0.2,0.65,24000,2,Individual,Manual,1,,1.2931000000000017
Hero  CBZ Xtreme,2008,0.2,0.787,50000,2,Individual,Manual,0,,0.9681900000000009
Bajaj  ct 100,2015,0.18,0.32,35000,2,Individual,Manual,0,,2.7020999999999957
Activa 3g,2008,0.17,0.52,500000,2,Individual,Automatic,0,,6.814699999999992
Honda CB twister,2010,0.16,0.51,33000,2,Individual,Manual,0,,2.4013666666666653
Bajaj Discover 125,2011,0.15,0.57,35000,2,Individual,Manual,1,,4.981200000000002
Honda CB Shine,2007,0.12,0.58,53000,2,Individual,Manual,0,,0.7848799999999991
Bajaj Pulsar 150,2006,0.1,0.75,92233,2,Individual,Manual,0,,4.274299999999999
i20,2010,3.25,6.79,58000,1,Dealer,Manual,1,,11.431499999999994
grand i10,2015,4.4,5.7,28200,2,Dealer,Manual,0,,5.898599999999999
i10,2011,2.95,4.6,53460,2,Dealer,Manual,0,,5.218600000000005
eon,2015,2.75,4.43,28282,2,Dealer,Manual,0,,5.5302999999999995
grand i10,2016,5.25,5.7,3493,2,Dealer,Manual,1,,5.094849999999994
xcent,2017,5.75,7.13,12479,2,Dealer,Manual,0,,8.062074999999993
grand i10,2015,5.15,5.7,34797,2,Dealer,Automatic,0,,5.231199999999994
i20,2017,7.9,8.1,3435,2,Dealer,Manual,0,,5.369850000000003
grand i10,2015,4.85,5.7,21125,1,Dealer,Manual,0,,7.868100000000004
i10,2012,3.1,4.6,35775,2,Dealer,Manual,0,,5.952200000000006
elantra,2015,11.75,14.79,43535,1,Dealer,Manual,0,,12.894799999999986
creta,2016,11.25,13.6,22671,2,Dealer,Manual,0,,8.996210000000014
i20,2011,2.9,6.79,31604,2,Dealer,Manual,0,,5.030866666666672
grand i10,2017,5.25,5.7,20114,2,Dealer,Manual,0,,5.939999999999998
verna,2012,4.5,9.4,36100,2,Dealer,Manual,0,,8.858599999999988
eon,2016,2.9,4.43,12500,2,Dealer,Manual,0,,7.443884999999992
eon,2016,3.15,4.43,15000,2,Dealer,Manual,0,,3.220223333333335
verna,2014,6.45,9.4,45078,2,Dealer,Manual,0,,9.070744999999992
verna,2012,4.5,9.4,36000,2,Dealer,Manual,0,,8.671266666666657
eon,2017,3.5,4.43,38488,2,Dealer,Manual,0,,5.841300000000002
i20,2013,4.5,6.79,32000,2,Dealer,Automatic,0,,4.197606666666668
i20,2014,6.0,7.6,77632,1,Dealer,Manual,0,,20.776799999999977
verna,2015,8.25,9.4,61381,1,Dealer,Manual,0,,13.485599999999991
verna,2013,5.11,9.4,36198,2,Dealer,Automatic,0,,8.463813333333325
i10,2011,2.7,4.6,22517,2,Dealer,Manual,0,,3.7550200000000036
grand i10,2015,5.25,5.7,24678,2,Dealer,Manual,0,,8.028583333333346
i10,2011,2.55,4.43,57000,2,Dealer,Manual,0,,6.788599999999994
verna,2012,4.95,9.4,60000,1,Dealer,Manual,0,,13.216000000000001
i20,2012,3.1,6.79,52132,1,Dealer,Manual,0,,7.249500000000008
verna,2013,6.15,9.4,45000,1,Dealer,Manual,0,,8.838157857142853
verna,2017,9.25,9.4,15001,2,Dealer,Manual,0,,6.172733333333324
elantra,2015,11.45,14.79,12900,2,Dealer,Automatic,0,,10.788231666666656
grand i10,2013,3.9,5.7,53000,1,Dealer,Manual,0,,6.26505
grand i10,2015,5.5,5.7,4492,2,Dealer,Manual,0,,2.926625000000001
verna,2017,9.1,9.4,15141,2,Dealer,Manual,0,,8.183666666666653
eon,2016,3.1,4.43,11849,2,Dealer,Manual,0,,5.613612857142857
creta,2015,11.25,13.6,68000,1,Dealer,Manual,0,,12.415999999999995
verna,2013,4.8,9.4,60241,2,Dealer,Manual,0,,7.846399999999991
eon,2012,2.0,4.43,23709,2,Dealer,Manual,0,,3.3092600000000023
verna,2012,5.35,9.4,32322,1,Dealer,Manual,0,,13.42863333333334
xcent,2015,4.75,7.13,35866,2,Dealer,Manual,1,,6.814966666666664
xcent,2014,4.4,7.13,34000,2,Dealer,Manual,0,,8.122966666666667
i20,2016,6.25,7.6,7000,2,Dealer,Manual,0,,3.9522166666666685
verna,2013,5.95,9.4,49000,1,Dealer,Manual,0,,9.011849999999988
verna,2012,5.2,9.4,71000,1,Dealer,Manual,0,,10.939199999999994
i20,2012,3.75,6.79,35000,2,Dealer,Manual,0,,4.9139000000000035
verna,2015,5.95,9.4,36000,2,Dealer,Manual,0,,8.073099999999991
i10,2013,4.0,4.6,30000,2,Dealer,Manual,0,,4.031066666666668
i20,2016,5.25,7.6,17000,2,Dealer,Manual,0,,5.77495000000001
creta,2016,12.9,13.6,35934,1,Dealer,Manual,0,,15.509753333333338
city,2013,5.0,9.9,56701,2,Dealer,Manual,0,,11.161299999999999
brio,2015,5.4,6.82,31427,2,Dealer,Automatic,0,,6.166760000000003
city,2014,7.2,9.9,48000,1,Dealer,Manual,0,,9.047449999999987
city,2013,5.25,9.9,54242,2,Dealer,Manual,0,,8.369599999999997
brio,2012,3.0,5.35,53675,2,Dealer,Manual,0,,5.520100000000008
city,2016,10.25,13.6,49562,2,Dealer,Manual,0,,9.850400000000013
city,2015,8.5,13.6,40324,2,Dealer,Manual,0,,11.278800000000004
city,2015,8.4,13.6,25000,2,Dealer,Manual,0,,10.957483333333341
amaze,2014,3.9,7.0,36054,2,Dealer,Manual,0,,7.4167333333333305
city,2016,9.15,13.6,29223,2,Dealer,Manual,0,,10.691900000000002
brio,2016,5.5,5.97,5600,2,Dealer,Manual,0,,4.503400000000004
amaze,2015,4.0,5.8,40023,2,Dealer,Manual,0,,6.710699999999998
jazz,2016,6.6,7.7,16002,2,Dealer,Manual,0,,6.723350000000006
amaze,2015,4.0,7.0,40026,2,Dealer,Manual,0,,7.190699999999998
jazz,2017,6.5,8.7,21200,2,Dealer,Manual,0,,7.751500000000006
amaze,2014,3.65,7.0,35000,2,Dealer,Manual,0,,4.209299999999996
city,2016,8.35,9.4,19434,1,Dealer,Manual,0,,11.216500000000003
brio,2017,4.8,5.8,19000,2,Dealer,Manual,0,,5.8366999999999996
city,2015,6.7,10.0,18828,2,Dealer,Manual,0,,8.3907
city,2011,4.1,10.0,69341,2,Dealer,Manual,0,,8.34841
city,2009,3.0,10.0,69562,2,Dealer,Manual,0,,10.273539999999995
city,2015,7.5,10.0,27600,2,Dealer,Manual,0,,8.183500000000004
jazz,2010,2.25,7.5,61203,2,Dealer,Manual,0,,7.004199999999998
brio,2014,5.3,6.8,16500,2,Dealer,Manual,0,,4.67193
city,2016,10.9,13.6,30753,2,Dealer,Automatic,0,,3.7815000000000056
city,2015,8.65,13.6,24800,2,Dealer,Manual,0,,10.57976666666668
city,2015,9.7,13.6,21780,2,Dealer,Manual,0,,8.341900000000008
jazz,2016,6.0,8.4,4000,2,Dealer,Manual,0,,5.969461666666658
city,2014,6.25,13.6,40126,2,Dealer,Manual,0,,6.961699999999995
brio,2015,5.25,5.9,14465,2,Dealer,Manual,0,,4.1467266666666625
city,2006,2.1,7.6,50456,2,Dealer,Manual,0,,1.2567599999999997
city,2014,8.25,14.0,63000,1,Dealer,Manual,0,,12.682499999999996
city,2016,8.99,11.8,9010,2,Dealer,Manual,0,,8.733433333333325
brio,2013,3.5,5.9,9800,2,Dealer,Manual,0,,4.852099999999994
jazz,2016,7.4,8.5,15059,2,Dealer,Automatic,0,,4.8487633333333315
jazz,2016,5.65,7.9,28569,2,Dealer,Manual,0,,7.520599999999989
amaze,2015,5.75,7.5,44000,2,Dealer,Automatic,0,,7.785966666666668
city,2015,8.4,13.6,34000,2,Dealer,Manual,0,,10.355100000000014
city,2016,10.11,13.6,10980,2,Dealer,Manual,0,,8.648619999999992
amaze,2014,4.5,6.4,19000,2,Dealer,Manual,0,,1.4917400000000012
brio,2015,5.4,6.1,31427,2,Dealer,Manual,0,,6.166760000000003
jazz,2016,6.4,8.4,12000,2,Dealer,Manual,0,,13.015828571428568
city,2010,3.25,9.9,38000,2,Dealer,Manual,0,,7.660499999999994
amaze,2014,3.75,6.8,33019,2,Dealer,Manual,0,,6.473599999999999
city,2015,8.55,13.09,60076,1,Dealer,Manual,0,,13.485599999999991
city,2016,9.5,11.6,33988,1,Dealer,Manual,0,,15.77303333333334
brio,2015,4.0,5.9,60000,2,Dealer,Manual,0,,4.778299999999995
city,2009,3.35,11.0,87934,2,Dealer,Manual,0,,12.3169
city,2017,11.5,12.5,9000,1,Dealer,Manual,0,,19.509400000000007
brio,2016,5.3,5.9,5464,2,Dealer,Manual,0,,5.277699999999993
